#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-26 07:30:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-26 07:30:40 GET /robots.txt - 46.229.164.100 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
2017-09-27 00:03:42 GET /js/boot_slider.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 2045 348
2017-09-27 00:03:42 GET /js/cbpFWTabs.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 1208 346
2017-09-27 00:03:42 GET /js/bootstrap.min.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 13266 350
2017-09-27 00:03:44 GET /js/jquery.min.js - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 43185 347
2017-09-27 00:03:49 GET /css/bootstrap.min.css - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 27990 367
2017-09-27 00:04:57 GET /images/team4.jpg - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 524288 347
2017-09-27 00:04:57 GET /images/team2.jpg - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 458752 347
2017-09-27 00:04:57 GET /images/team3.jpg - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 458752 347
2017-09-27 00:04:57 GET /images/work-img1.jpg - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 458752 351
2017-09-27 00:04:57 GET /images/work-img3.jpg - 122.60.96.188 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:55.0)+Gecko/20100101+Firefox/55.0 http://www.kaiparatavern.co.nz/ 200 458752 351
