#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-01 10:20:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-01 15:00:51 POST /weki.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/weki.php 404 1405 639
2018-06-01 15:00:53 POST /data/data/index.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/data/index.php 404 1405 662
2018-06-01 15:00:54 POST /data/conn/config.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/conn/config.php 404 1405 664
2018-06-01 15:00:54 POST /plus/mytag_j.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_j.php?aid=6022 404 1405 672
2018-06-01 15:00:55 POST /plus/mytag_j.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_j.php?aid=6022 404 1405 1126
2018-06-01 15:00:55 POST /plus/mytag_j.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_j.php?aid=6022 404 1405 675
2018-06-01 15:00:55 POST /include/helperss/filter.helpear.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/helperss/filter.helpear.php 404 1405 349
2018-06-01 15:00:58 POST /install/modurnlecscache.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/install/modurnlecscache.php 404 1405 684
2018-06-01 15:00:59 POST /include/data/fonts/uddatasql.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/data/fonts/uddatasql.php 404 1405 694
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-01 15:23:41
