#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 07:33:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 07:33:17 GET / - 184.94.240.92 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 - 200 34855 182
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 08:09:24
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 09:18:29 GET /css/images/cd-top-arrow.svg - 31.13.115.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/css/style.css 404 1405 380
2019-02-12 09:18:29 GET /fonts/fontawesome-webfont.woff - 31.13.115.8 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 402
2019-02-12 09:18:29 GET /js/SmoothScroll.min.js - 31.13.115.11 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 6852 395
2019-02-12 09:18:29 GET /images/logo.png - 31.13.115.7 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 9464 424
2019-02-12 09:18:30 GET /js/main.js - 31.13.115.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 1141 383
2019-02-12 09:18:30 GET /js/jQuery.lightninBox.js - 31.13.115.8 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 11492 397
2019-02-12 09:18:30 GET /js/boot_slider.js - 31.13.115.11 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 5146 390
2019-02-12 09:18:30 GET /js/cbpFWTabs.js - 31.13.115.3 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/?fbclid=IwAR3679_Ew-yKzrqs6usWOPyEZKtmV_Rfi7ZmYPzrj9o8Rgeqaur8JrxIqug 200 1962 388
2019-02-12 09:18:30 GET /images/info.jpg - 31.13.115.7 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/css/style.css 200 729150 368
2019-02-12 09:18:31 GET /fonts/fontawesome-webfont.ttf - 31.13.115.14 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.96+Safari/537.36 http://kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 401
