#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 09:08:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 09:08:17 GET / - 42.236.54.2 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://kaiparatavern.co.nz/ 200 0 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 12:15:26
2018-07-30 12:17:15 POST /plus/mytag_j.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_j.php?aid=6022 404 1405 675
2018-07-30 12:17:15 POST /include/helperss/filter.helpear.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/helperss/filter.helpear.php 404 1405 692
2018-07-30 12:17:16 POST /install/modurnlecscache.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/install/modurnlecscache.php 404 1405 684
2018-07-30 12:17:16 POST /data/img/css/xianf.ASP - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/img/css/xianf.ASP 404 1405 667
2018-07-30 12:17:17 POST /data/img/css/xianf.ASP - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/img/css/xianf.ASP 404 1405 1121
2018-07-30 12:17:17 POST /data/img/css/xianf.ASP - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/img/css/xianf.ASP 404 1405 323
2018-07-30 12:17:19 POST /include/data/fonts/uddatasql.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/data/fonts/uddatasql.php 404 1405 694
2018-07-30 12:17:20 POST /install/m7lrv.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/install/m7lrv.php 404 1405 660
2018-07-30 12:17:20 POST /bbs/utility/convert/data/config.inc.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/bbs/utility/convert/data/config.inc.php 404 1405 700
2018-07-30 12:17:21 POST /utility/convert/data/config.inc.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/utility/convert/data/config.inc.php 404 1405 694
2018-07-30 12:17:21 POST /md5.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/md5.asp 404 1405 1093
2018-07-30 12:17:22 POST /images/Sql.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/images/Sql.asp 404 1405 1106
2018-07-30 12:17:24 POST /manage/Images/Sql.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/manage/Images/Sql.asp 404 1405 1120
