#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 09:23:06
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 20:26:42 GET /robots.txt - 34.66.95.149 HTTP/1.1 ltx71+-+(http://ltx71.com/) - 404 1424 243
2019-05-13 20:27:17 GET /robots.txt - 66.249.64.118 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2019-05-13 20:27:17 GET / - 66.249.64.116 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 558
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 21:13:56
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 21:13:56 GET / - 54.212.182.221 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.0.3626.109+Safari/537.36 - 200 34836 190
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 23:48:31
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 23:48:30 GET / - 35.155.227.129 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.2+(KHTML,+like+Gecko)+Chrome/22.0.1216.0+Safari/537.2 - 200 34836 174
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-14 01:19:35
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-14 01:19:35 HEAD / - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 249 213
2019-05-14 01:19:35 GET /robots.txt - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 404 1405 245
2019-05-14 01:19:37 GET / - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 6457 303
2019-05-14 01:19:37 GET /js/modernizr.custom.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 8758 309
2019-05-14 01:19:38 GET /js/jquery.min.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 96256 303
2019-05-14 01:19:38 GET /js/bootstrap.min.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 37132 306
2019-05-14 01:19:38 GET /js/SmoothScroll.min.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 6852 309
2019-05-14 01:19:38 GET /js/main.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 1141 297
2019-05-14 01:19:39 GET /js/jQuery.lightninBox.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 11492 311
2019-05-14 01:19:39 GET /js/cbpFWTabs.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 1962 302
2019-05-14 01:19:39 GET /js/boot_slider.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) http://kaiparatavern.co.nz/ 200 5146 304
2019-05-14 01:19:42 GET /css/team.css - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 3537 247
2019-05-14 01:19:42 GET /css/jQuery.lightninBox.css - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 5227 261
2019-05-14 01:19:42 GET /css/font-awesome.min.css - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 29179 259
2019-05-14 01:19:43 GET /css/style.css - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 46677 248
2019-05-14 01:19:43 GET /css/bootstrap.min.css - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 121509 256
2019-05-14 01:19:43 GET /js/modernizr.custom.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 4107 257
2019-05-14 01:19:44 GET /js/jquery.min.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 33699 251
2019-05-14 01:19:44 GET /js/bootstrap.min.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 10084 254
2019-05-14 01:19:44 GET /js/SmoothScroll.min.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 3176 257
2019-05-14 01:19:44 GET /js/main.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 1141 245
2019-05-14 01:19:45 GET /js/jQuery.lightninBox.js - 35.183.207.96 HTTP/1.1 CheckMarkNetwork/1.0+(+http://www.checkmarknetwork.com/spider.html) - 200 2519 259
