#Software: Microsoft Internet Information Services 7.5
2018-03-30 21:56:49 GET /images/work-img8.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 131072 388
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 23:16:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 23:16:16 GET /images/5.jpg - 66.249.79.12 HTTP/1.1 Googlebot-Image/1.0 - 304 211 249
2018-03-30 23:27:52 GET /images/logo.png - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 252
2018-03-30 23:27:52 GET /robots.txt - 66.249.79.8 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 23:51:06
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 23:51:06 GET /images/work-img2.jpg - 66.249.79.8 HTTP/1.1 Googlebot-Image/1.0 - 304 211 257
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-31 00:34:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-31 00:34:59 GET / - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 https://www.google.co.nz/ 200 8209 426
2018-03-31 00:34:59 GET /css/team.css - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 1027 369
2018-03-31 00:34:59 GET /css/jQuery.lightninBox.css - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 1481 383
2018-03-31 00:34:59 GET /css/style.css - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 11722 370
2018-03-31 00:34:59 GET /css/font-awesome.min.css - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 8118 381
