#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 07:44:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 07:44:54 GET / - 112.5.243.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 https://www.blog4u.top/how-to-generate-traffic-to-your-website-fast/68646325/ 200 13729 413
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 08:08:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 11:33:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 11:33:53 GET / - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 android-app://com.google.android.googlequicksearchbox 200 103142 625
2018-10-20 11:33:53 GET /style.css - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 17822 513
2018-10-20 11:33:53 GET /images/gallery/gallery-4.jpg - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 553
2018-10-20 11:33:53 GET /js/prettyphoto/css/prettyPhoto.css - 66.249.93.210 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20163 538
2018-10-20 11:33:53 GET /css/colors.css - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 10501 518
2018-10-20 11:33:54 GET /images/team/member-2.jpg - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 549
