#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-13 09:56:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-13 22:45:00 GET /images/gallery/gallery-5.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 412
2018-06-13 22:45:00 GET /images/toggle-plus.png - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1206 415
2018-06-13 22:45:00 GET /images/toggle-minus.png - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1196 416
2018-06-13 22:45:00 GET /images/flexslider-arrows.png - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1827 421
2018-06-13 22:45:01 GET /images/team/member-2.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 408
2018-06-13 22:45:01 GET /images/favicon.ico - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 402
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-13 23:06:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-13 23:06:03 GET /robots.txt - 66.249.79.130 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 231
2018-06-13 23:06:03 GET / - 66.249.79.134 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13729 294
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-13 23:27:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-13 23:27:37 GET /css/colors.css - 66.249.79.130 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://ngateahotel.co.nz/ 200 3308 375
2018-06-13 23:27:37 GET /css/bootstrap/css/bootstrap.min.css - 66.249.79.130 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://ngateahotel.co.nz/ 200 22905 396
2018-06-13 23:27:37 GET /style.css - 66.249.79.130 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://ngateahotel.co.nz/ 200 5866 370
2018-06-13 23:27:38 GET /js/prettyphoto/css/prettyPhoto.css - 66.249.79.130 HTTP/1.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko;+compatible;+Googlebot/2.1;++http://www.google.com/bot.html)+Safari/537.36 http://ngateahotel.co.nz/ 200 4101 395
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-14 01:04:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-14 01:04:37 HEAD / - 188.165.200.217 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.01;+Windows+NT+5.0) - 200 249 122
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-14 01:59:07
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-14 01:59:07 GET /css/colors.css - 180.76.15.22 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 3327 237
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-14 03:05:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-14 03:05:48 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 180.76.15.9 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 8026 262
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-14 04:57:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-14 04:57:59 HEAD /xmlrpz-sql.php - 47.97.209.38 HTTP/1.1 - - 404 179 104
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-14 05:18:26
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-14 05:18:26 GET / - 116.89.224.161 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+rv:52.0)+Gecko/20100101+Firefox/52.0 https://www.google.com/ 200 13729 392
2018-06-14 05:18:27 GET /js/init.js - 116.89.224.161 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+rv:52.0)+Gecko/20100101+Firefox/52.0 http://www.ngateahotel.co.nz/ 200 1800 318
2018-06-14 05:18:27 GET /style.css - 116.89.224.161 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+rv:52.0)+Gecko/20100101+Firefox/52.0 http://www.ngateahotel.co.nz/ 200 5866 332
2018-06-14 05:18:27 GET /images/favicon.ico - 116.89.224.161 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+rv:52.0)+Gecko/20100101+Firefox/52.0 - 404 1405 346
2018-06-14 05:18:27 GET /css/colors.css - 116.89.224.161 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+rv:52.0)+Gecko/20100101+Firefox/52.0 http://www.ngateahotel.co.nz/ 200 3308 337
2018-06-14 05:18:27 GET /js/jquery.form.min.js - 116.89.224.161 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64;+rv:52.0)+Gecko/20100101+Firefox/52.0 http://www.ngateahotel.co.nz/ 200 5510 329
